2023-12-01 13:12:45.872482|34.2725,1.55|37.6075,1.3575|37.41625,1.3375000000000001|37.00125,1.33625
2023-12-01 13:14:45.877365|34.85125,1.5925|37.597500000000004,1.35625|37.441250000000004,1.34125|37.01375,1.3375000000000001
2023-12-01 13:16:45.977778|34.581250000000004,1.58125|37.11625,1.33875|36.97875,1.32375|36.575,1.32
2023-12-01 13:18:46.079046|34.325,1.57875|37.86,1.365|37.6225,1.3475|37.26375,1.345
2023-12-01 13:20:46.116362|33.4075,1.55|37.7525,1.36125|37.495,1.3425|37.115,1.34
2023-12-01 13:22:46.167314|31.376250000000002,1.4937500000000001|37.63125,1.3575|37.40625,1.33875|36.9925,1.33625
2023-12-01 13:24:46.171776|30.1525,1.44125|37.6525,1.3575|37.393750000000004,1.33875|36.9425,1.3325
2023-12-01 13:26:46.176416|29.0775,1.41875|37.64875,1.35625|37.4125,1.33875|36.93875,1.3325
2023-12-01 13:28:46.277259|28.7925,1.41625|37.7025,1.36|37.39625,1.33875|36.910000000000004,1.33375
2023-12-01 13:30:46.284341|27.97875,1.375|37.735,1.36|37.52,1.3425|37.03625,1.3375000000000001
2023-12-01 13:32:46.373032|27.41875,1.37875|37.72875,1.36|37.495,1.3425|37.02,1.33625
2023-12-01 13:34:46.389577|26.64375,1.34125|37.73125,1.36|37.46625,1.34125|36.9925,1.335
2023-12-01 13:36:46.490705|26.548750000000002,1.34125|37.6725,1.3575|37.415,1.33875|36.941250000000004,1.3325
2023-12-01 13:38:46.500375|27.12,1.05375|37.660000000000004,1.35625|37.415,1.33875|36.9525,1.33375
2023-12-01 13:40:46.516416|27.6375,1.07|37.66375,1.3575|37.4675,1.3425|37.01375,1.335
2023-12-01 13:42:46.608458|27.1025,1.355|37.6375,1.35625|37.485,1.34125|37.02,1.3375000000000001
2023-12-01 13:44:46.614665|26.595,1.2875|37.57125,1.35375|37.47,1.34|37.00125,1.33625
2023-12-01 13:46:46.716829|25.7575,1.28875|37.495,1.3525|37.44375,1.34|36.955,1.3325
2023-12-01 13:48:46.772411|27.39,1.37875|37.4125,1.3475|37.480000000000004,1.34125|37.005,1.3375000000000001
2023-12-01 13:50:46.832170|27.15875,1.34375|37.14,1.33875|37.48375,1.34125|36.97125,1.335
2023-12-01 13:52:46.933266|26.7875,1.34625|36.941250000000004,1.33125|37.4775,1.34125|36.965,1.335
2023-12-01 13:54:46.936930|26.8825,1.325|36.855000000000004,1.3275000000000001|37.6725,1.3475|37.11375,1.34
2023-12-01 13:56:47.028363|27.22875,1.11|36.53625,1.31625|37.57125,1.34375|37.011250000000004,1.3375000000000001
2023-12-01 13:58:47.052397|27.841250000000002,1.38125|35.84375,1.29125|37.475,1.34|36.915,1.3325
2023-12-01 14:00:47.112802|27.565,1.38125|32.3975,1.1675|37.45,1.3425|36.878750000000004,1.33125
2023-12-01 14:02:47.160381|27.3975,1.36375|30.095,1.08375|37.4525,1.34|36.88125,1.33
2023-12-01 14:04:47.164879|31.10125,1.48125|28.74625,1.0362500000000001|37.51375,1.345|36.995,1.335
2023-12-01 14:06:47.266387|32.345,1.52125|27.39875,0.9875|37.53625,1.345|37.025,1.33875
2023-12-01 14:08:47.282876|36.305,1.6400000000000001|25.778750000000002,0.92875|37.43125,1.34|36.8975,1.3325
2023-12-01 14:10:47.342042|36.862500000000004,1.6500000000000001|24.45,0.88125|37.435,1.34125|36.86375,1.33125
2023-12-01 14:12:47.344474|37.0775,1.57125|23.605,0.85|37.43375,1.34|36.84375,1.33
2023-12-01 14:14:47.350157|37.22125,1.6375|23.13875,0.835|37.38,1.3375000000000001|36.7725,1.3275000000000001
2023-12-01 14:16:47.451148|37.26375,1.665|22.92,0.82625|37.405,1.33875|36.81375,1.32875
2023-12-01 14:18:47.551667|37.31,1.6675|22.6825,0.8175|37.393750000000004,1.33875|36.8125,1.32875
